"","county_code","lon","lat"
"301","13149",-85.1479364,33.2990406
"302","13151",-84.1435136,33.4347963
"303","13153",-83.634843,32.4219655
"304","13155",-83.2934086,31.5893221
"305","13157",-83.5496566,34.1174511
"306","13159",-83.7199136,33.3246924
"307","13161",-82.605118,31.8234851
"308","13163",-82.4319405,33.0740753
"309","13165",-81.9971108,32.7781246
"310","13167",-82.6915429,32.7308194
"311","13169",-83.5070203,33.0002582
"312","13171",-84.1435136,33.0765883
"313","13173",-83.0361376,31.0291269
"314","13175",-82.9931607,32.433014
"315","13177",-84.1435136,31.8128435
"316","13179",-81.4718387,31.842969
"317","13181",-82.4319405,33.7875101
"318","13183",-81.8224362,31.7755541
"319","13185",-83.2934086,30.8600022
"320","13187",-83.9744262,34.5813972
"321","13189",-82.5185837,33.5258626
"322","13191",-81.3839326,31.4748147
"323","13193",-84.059029,32.3523607
"324","13195",-83.2077645,34.0990245
"325","13197",-84.5222189,32.328102
"326","13199",-84.6897495,33.0561282
"327","13201",-84.7315563,31.2008218
"328","13205",-84.1857115,31.2230067
"329","13207",-83.8897057,32.9746846
"330","13209",-82.5185837,32.1802095
"331","13211",-83.4643551,33.5794186
"332","13213",-84.7315563,34.7928029
"333","13215",-84.8984775,32.4794133
"334","13217",-83.8473015,33.5544296
"335","13219",-83.4430118,33.8231988
"336","13221",-83.0361376,33.9119731
"337","13223",-84.8984775,33.9142037
"338","13225",-83.8260884,32.5892926
"339","13227",-84.4592701,34.4497166
"340","13229",-82.1713632,31.343806
"341","13231",-84.3962535,33.0881873
"342","13233",-85.1479364,34.0132398
"343","13235",-83.4643551,32.232644
"344","13237",-83.3789389,33.3069978
"345","13239",-84.981754,31.8485969
"346","13241",-83.3789389,34.9027286
"347","13243",-84.6897495,31.7913398
"348","13245",-82.0842901,33.3205339
"349","13247",-84.0378894,33.6752492
"350","13249",-84.3121264,32.2736136
"351","13251",-81.6035062,32.7074673
"352","13253",-84.8984775,30.9331429
"353","13255",-84.3121264,33.2636732
"354","13257",-83.2934086,34.5458998
"355","13259",-84.8150781,32.1141344
"356","13261",-84.2278796,31.9981596
"357","13263",-84.5222189,32.6891322
"358","13265",-82.8855961,33.5697878
"359","13267",-82.0842901,32.0634576
"360","13269",-84.2278796,32.5407455
"361","13271",-82.9931607,31.8907647
"362","13273",-84.4802606,31.7370079
"363","13275",-83.8473015,30.8417409
"364","13277",-83.5496566,31.4205597
"365","13279",-82.345189,32.0795072
"366","13281",-83.7199136,34.9208214
"367","13283",-82.5834947,32.3870233
"368","13285",-85.023346,33.0698575
"369","13287",-83.634843,31.6976531
"370","13289",-83.4643551,32.68356
"371","13291",-83.9744262,34.8457601
"372","13293",-84.3121264,32.9047684
"373","13295",-85.354965,34.6858231
"374","13297",-83.7199136,33.7708613
"375","13299",-82.4752757,31.134411
"376","13301",-82.6915429,33.4470392
"377","13303",-82.820974,32.962702
"378","13305",-81.909826,31.5092107
"379","13307",-84.564147,32.0129889
"380","13309",-82.6915429,32.0999794
"381","13311",-83.7199136,34.6567728
"382","13313",-84.981754,34.8033566
"383","13315",-83.4643551,31.9611759
"384","13317",-82.7778579,33.808264
"385","13319",-83.1649001,32.8024682
"386","13321",-83.8897057,31.5282489
"387","17001",-91.135302,40.0577692
"388","17003",-89.3606298,37.1670164
"389","17005",-89.4742177,38.902985
"390","17007",-88.8263006,42.3484976
"391","17009",-90.7152749,39.9379573
"392","17011",-89.4742177,41.3599156
"393","17013",-90.658333,39.1733216
"394","17015",-89.9626799,42.0385843
"395","17017",-90.2620042,39.9398601
"396","17019",-88.2461183,40.2138865
"397","17021",-89.3226954,39.5672183
"398","17023",-87.7763333,39.3824189
"399","17025",-88.556531,38.7279431
"400","17027",-89.6251646,38.5684442
"401","17029",-88.2461183,39.5560011
"402","17031",-87.697554,41.7376587
"403","17033",-87.7763333,39.0499568
"404","17035",-88.2071598,39.2653533
"405","17037",-88.7108964,41.8329981
"406","17039",-88.90306,40.1810363
"407","17041",-88.2071598,39.7617631
"408","17043",-88.0900762,41.8243831
"409","17045",-87.7763333,39.7131223
"410","17047",-88.050979,38.4267827
"411","17049",-88.556531,39.0621773
"412","17051",-89.0179332,39.0669568
"413","17053",-88.2071598,40.4988592
"414","17055",-88.90306,38.0157197
"415","17057",-90.2244662,40.5531823
"416","17059",-88.2461183,37.7107751
"417","17061",-90.3748354,39.4029862
"418","17063",-88.4016041,41.3500531
"419","17065",-88.556531,38.0543187
"420","17067",-91.135302,40.3849365
"421","17069",-88.362785,37.4995097
"422","17071",-90.9438468,40.8335548
"423","17073",-90.0746767,41.361088
"424","17075",-87.697554,40.7740275
"425","17077",-89.3226954,37.7218304
"426","17079",-88.0900762,39.0554965
"427","17081",-88.864698,38.2267348
"428","17083",-90.3748354,39.0704754
"429","17085",-90.2244662,42.3148804
"430","17087",-88.90306,37.4203764
"431","17089",-88.4016041,41.987884
"432","17091",-87.7763333,41.1790977
"433","17093",-88.4403883,41.5507043
"434","17095",-90.2244662,40.8776411
"435","17097",-87.8271534,42.3689363
"436","17099",-88.9413865,41.4363987
"437","17101",-87.7763333,38.7157534
"438","17103",-89.3226954,41.6789842
"439","17105",-88.556531,40.8688604
"440","17107",-89.3226954,40.061338
"441","17109",-90.6773046,40.3885122
"442","17111",-88.4016041,42.3039993
"443","17113",-88.864698,40.5478429
"444","17115",-89.0179332,39.8949055
"445","17117",-89.9253233,39.2375268
"446","17119",-89.9253233,38.9041402
"447","17121",-88.864698,38.7313284
"448","17123",-89.3606298,40.9972934
"449","17125",-89.9253233,40.2271003
"450","17127",-88.7493998,37.2478298
"451","17129",-89.8130356,40.0221361
"452","17131",-90.6773046,41.1985037
"453","17133",-90.1869644,38.2742526
"454","17135",-89.4742177,39.2363688
"455","17137",-90.2244662,39.7341219
"456","17139",-88.5951751,39.6020543
"457","17141",-89.3226954,41.9969811
"458","17143",-89.7755338,40.7156396
"459","17145",-89.3226954,38.0612022
"460","17147",-88.556531,40.0543526
"461","17149",-90.8294002,39.5662363
"462","17151",-88.5951751,37.417132
"463","17153",-89.1324866,37.2512419
"464","17155",-89.2847251,41.238474
"465","17157",-89.7755338,38.0629321
"466","17159",-88.0900762,38.7212791
"467","17161",-90.563609,41.3998209
"468","17163",-89.9253233,38.400812
"469","17165",-88.556531,37.7149675
"470","17167",-89.6251646,39.7337353
"471","17169",-90.6393702,40.1844543
"472","17171",-90.4879916,39.6094934
"473","17173",-88.864698,39.3980704
"474","17175",-89.8130356,41.0795661
"475","17177",-89.6251646,42.314489
"476","17179",-89.4742177,40.5522078
"477","17181",-89.2847251,37.5086525
"478","17183",-87.697554,40.122469
"479","17185",-87.8156715,38.4226484
"480","17187",-90.6773046,40.8758777
"481","17189",-89.3226954,38.3988869
"482","17191",-88.4016041,38.3899815
"483","17193",-88.2461183,38.0501137
"484","17195",-89.8505012,41.7605503
"485","17197",-88.0900762,41.5054724
"486","17199",-88.864698,37.7183241
"487","17201",-89.1705998,42.3121109
"488","17203",-89.1705998,40.7128889
"489","18001",-84.8984775,40.7249237
"490","18003",-85.023346,41.0932622
"491","18005",-85.8895551,39.206801
"492","18007",-87.3413599,40.644786
"493","18009",-85.3136218,40.4992784
"494","18011",-86.4996546,40.0106163
"495","18013",-86.1751759,39.1749729
"496","18015",-86.5400674,40.542415
"497","18017",-86.3376761,40.8199089
"498","18019",-85.7256372,38.4492903
"499","18021",-87.1422895,39.368622
"500","18023",-86.4996546,40.3376924
"501","18025",-86.4592091,38.3054548
"502","18027",-87.1422895,38.7020241
"503","18029",-84.981754,39.1713075
"504","18031",-85.520024,39.3176186
"505","18033",-85.023346,41.4138928
"506","18035",-85.3962769,40.2583533
"507","18037",-86.8220341,38.357918
"508","18039",-85.8486236,41.6062253
"509","18041",-85.1479364,39.5920377
"510","18043",-85.8895551,38.2869276
"511","18045",-87.3347575,40.2227197
"512","18047",-85.0649071,39.4233977
"513","18049",-86.2970998,41.0204161
"514","18051",-87.5791287,38.3338249
"515","18053",-85.684578,40.4730605
"516","18055",-86.9824288,39.0321796
"517","18057",-86.0529604,40.0372797
"518","18059",-85.8486236,39.8249915
"519","18061",-86.1751759,38.1701136
"520","18063",-86.5400674,39.8064942
"521","18065",-85.354965,39.9704844
"522","18067",-86.1344697,40.4482767
"523","18069",-85.520024,40.7911217
"524","18071",-86.0529604,38.8794321
"525","18073",-87.1422895,41.0040981
"526","18075",-85.023346,40.4465288
"527","18077",-85.4788065,38.7751543
"528","18079",-85.684578,38.9914998
"529","18081",-86.1344697,39.4637793
"530","18083",-87.4207518,38.6665815
"531","18085",-85.8486236,41.2864679
"532","18087",-85.3962769,41.6288702
"533","18089",-87.3016132,41.4897279
"534","18091",-86.8220341,41.4775131
"535","18093",-86.4996546,38.8518863
"536","18095",-85.684578,40.1469349
"537","18097",-86.1751759,39.83619
"538","18099",-86.3376761,41.303028
"539","18101",-86.8220341,38.6937856
"540","18103",-86.0529604,40.770099
"541","18105",-86.4996546,39.1851445
"542","18107",-86.8220341,40.019879
"543","18109",-86.3376761,39.5116809
"544","18111",-87.4207518,40.9703076
"545","18113",-85.354965,41.4277391
"546","18115",-84.9609464,38.9417259
"547","18117",-86.4996546,38.5169004
"548","18119",-86.8220341,39.3603429
"549","18121",-87.1422895,39.6992946
"550","18123",-86.6611083,38.0159043
"551","18125",-87.2618328,38.4110583
"552","18127",-87.1023746,41.5248577
"553","18129",-87.8942451,38.0020359
"554","18131",-86.8220341,40.9957383
"555","18133",-86.8220341,39.690997
"556","18135",-85.023346,40.1204532
"557","18137",-85.2308414,39.0986811
"558","18139",-85.520024,39.6481768
"559","18141",-86.3376761,41.6228085
"560","18143",-85.7256372,38.7008005
"561","18145",-85.8486236,39.4952877
"562","18147",-87.0224442,37.9832621
"563","18149",-86.6207943,41.2715616
"564","18151",-84.981754,41.6115471
"565","18153",-87.4207518,39.0843122
"566","18155",-85.0649071,38.8419394
"567","18157",-86.8220341,40.3469731
"568","18159",-86.0529604,40.2825661
"569","18161",-84.8984775,39.6637751
"570","18163",-87.5791287,38.0806099
"571","18165",-87.4802068,39.8512139
"572","18167",-87.4207518,39.4165382
"573","18169",-85.8486236,40.8033875
"574","18171",-87.3413599,40.319245
"575","18173",-87.2618328,38.0736703
"576","18175",-86.1751759,38.6744747
"577","18177",-84.981754,39.831882
"578","18179",-85.1894045,40.7778348
"579","18181",-86.9824288,40.6765551
"580","18183",-85.520024,41.1136133
"581","19001",-94.479976,41.2741733
"582","19003",-94.6863782,41.0652066
"583","19005",-91.443469,43.2430754
"584","19007",-92.8577105,40.6806102
"585","19009",-94.976654,41.7326826
"586","19011",-92.0665197,42.1387249
"587","19013",-92.3813621,42.447804
"588","19015",-93.9878427,42.0881747
"589","19017",-92.3813621,42.761082
"590","19019",-91.9099238,42.4566006
"591","19021",-95.1432068,42.6705452
"592","19023",-92.8577105,42.7502186
"593","19025",-94.645035,42.3785903
"594","19027",-94.8105955,42.0566912
"595","19029",-94.976654,41.2538068
"596","19031",-91.135302,41.8346154
"597","19033",-93.2029675,43.1543186
"598","19035",-95.6457951,42.8027756
"599","19037",-92.3813621,43.0724667
"600","19039",-93.7841503,41.0177836
"601","19041",-95.1432068,43.1368038
"602","19043",-91.2891036,42.7785285
"603","19045",-90.563609,41.878563
"604","19047",-95.3102505,42.034686
"605","19049",-93.9878427,41.6120022
"606","19051",-92.3813621,40.6913838
"607","19053",-93.8248241,40.8146492
"608","19055",-91.443469,42.4634009
"609","19057",-91.1736994,40.9123374
"610","19059",-95.1849219,43.4049388
"611","19061",-90.8294002,42.4694679
"612","19063",-94.6863782,43.34943
"613","19065",-91.9099238,42.9258199
"614","19067",-92.8577105,43.0615947
"615","19069",-93.3388917,42.7372361
"616","19071",-95.6457951,40.7400403
"617","19073",-94.479976,42.0700527
"618","19075",-92.8577105,42.4369506
"619","19077",-94.479976,41.7530909
"620","19079",-93.6623239,42.4141275
"621","19081",-93.6623239,43.0387322
"622","19083",-93.1779659,42.4285425
"623","19085",-95.8142885,41.6933855
"624","19087",-91.5983959,41.0283603
"625","19089",-92.3813621,43.3819496
"626","19091",-94.19234,42.7482597
"627","19093",-95.4777811,42.3418685
"628","19095",-92.0665197,41.6624604
"629","19097",-90.5257823,42.1560699
"630","19099",-93.0175712,41.6414924
"631","19101",-91.9099238,41.0236358
"632","19103",-91.5983959,41.6698982
"633","19105",-91.135302,42.1516737
"634","19107",-92.2236667,41.3397063
"635","19109",-94.2333355,43.2513384
"636","19111",-91.443469,40.7068663
"637","19113",-91.6760691,42.0659844
"638","19115",-91.2891036,41.1933001
"639","19117",-93.3388917,40.9912021
"640","19119",-96.1526985,43.3954333
"641","19121",-93.9878427,41.2922367
"642","19123",-92.6983868,41.329588
"643","19125",-93.1779659,41.3173818
"644","19127",-92.9375739,42.0407088
"645","19129",-95.6457951,41.0624496
"646","19131",-92.8577105,43.3710702
"647","19133",-95.9832577,42.001594
"648","19135",-92.8577105,41.0040981
"649","19137",-95.1849219,41.0438839
"650","19139",-91.135302,41.5156913
"651","19141",-95.6457951,43.1131245
"652","19143",-95.6037465,43.3851953
"653","19145",-95.1432068,40.7635099
"654","19147",-94.645035,43.1580878
"655","19149",-96.1526985,42.776665
"656","19151",-94.645035,42.6918039
"657","19153",-93.5003454,41.6278423
"658","19155",-95.4777811,41.3911501
"659","19157",-92.539603,41.6530119
"660","19159",-94.315422,40.7973811
"661","19161",-95.1432068,42.3573517
"662","19163",-90.6393702,41.6393199
"663","19165",-95.3102505,41.7177667
"664","19167",-96.1526985,43.0869936
"665","19169",-93.5003454,42.1040438
"666","19171",-92.539603,42.1292592
"667","19173",-94.645035,40.7846069
