"","project_id","week","day","hour","num_authors"
"2799",12692948,0,3,22,1
"2800",2715279,0,2,12,1
"2801",7230134,0,4,22,1
"2802",502128,0,3,7,1
"2803",7293085,0,3,0,1
"2804",6593037,0,4,2,1
"2805",11854767,0,1,22,1
"2806",12137010,0,3,20,1
"2807",7309481,0,4,15,1
"2808",14697869,0,3,9,1
"2809",6085366,0,4,16,1
"2810",7089304,0,2,17,1
"2811",30423221,0,2,7,1
"2812",27594047,0,1,13,1
"2813",1812035,0,1,18,1
"2814",11324173,0,3,0,1
"2815",14707165,0,3,18,1
"2816",9612207,0,5,22,1
"2817",30246056,0,1,10,1
"2818",14282119,0,3,3,1
"2819",7401736,0,3,7,1
"2820",232071,0,4,10,1
"2821",44086,0,3,8,1
"2822",14647528,0,1,16,1
"2823",6444832,0,4,22,1
"2824",8758334,0,3,16,1
"2825",8257712,0,2,17,1
"2826",6631680,0,2,19,1
"2827",30280602,0,1,15,1
"2828",7331950,0,2,18,1
"2829",2810859,0,5,20,1
"2830",7293750,0,3,0,1
"2831",4023,0,2,14,2
"2832",26221347,0,3,8,1
"2833",4432955,0,1,5,1
"2834",27657646,0,1,11,1
"2835",3451407,0,1,15,1
"2836",17557211,0,1,5,1
"2837",14678702,0,2,14,1
"2838",7193390,0,1,8,1
"2839",1488168,0,3,14,1
"2840",13626443,0,3,14,1
"2841",6888864,0,2,12,1
"2842",7159913,0,2,20,1
"2843",1385107,0,3,15,1
"2844",15095833,0,2,16,1
"2845",13830645,0,3,12,1
"2846",33992860,0,2,7,1
"2847",21622986,0,4,9,1
"2848",44168,0,3,21,1
"2849",13421870,0,2,21,1
"2850",13011968,0,3,3,1
"2851",14667063,0,2,2,1
"2852",7705320,0,3,14,1
"2853",6236268,0,3,4,1
"2854",14652721,0,2,13,1
"2855",7211162,0,2,17,1
"2856",15796786,0,3,3,1
"2857",1981476,53,31,4,1
"2858",30422198,0,1,21,1
"2859",5482294,0,4,12,1
"2860",30448441,0,2,22,1
"2861",24026181,0,1,20,1
"2862",1951061,53,31,2,1
"2863",13763471,0,3,2,1
"2864",29410198,0,2,16,1
"2865",844184,0,1,18,1
"2866",27688427,0,1,15,1
"2867",1605475,0,5,21,1
"2868",1403900,53,31,15,1
"2869",13924866,0,1,3,1
"2870",4204556,0,2,23,1
"2871",5883226,0,2,6,1
"2872",30255033,0,1,6,1
"2873",13885175,0,1,22,1
"2874",7054068,0,3,12,1
"2875",14650449,0,1,4,1
"2876",13802242,0,2,16,1
"2877",4967653,0,4,7,1
"2878",2688935,0,4,19,1
"2879",14688643,0,2,18,1
"2880",22344720,0,2,19,1
"2881",2841681,0,1,15,1
"2882",1943355,0,4,12,1
"2883",266923,0,3,16,1
"2884",13509583,0,3,12,1
"2885",30383848,0,1,19,1
"2886",9338,0,3,9,1
"2887",1930195,0,2,17,1
"2888",3446482,0,4,15,1
"2889",2259355,0,3,2,1
"2890",39075,0,3,19,3
"2891",14887509,0,3,14,1
"2892",10288209,0,1,5,1
"2893",14484999,0,1,20,1
"2894",7257819,0,3,20,1
"2895",7074486,0,3,23,1
"2896",4049,0,2,20,1
"2897",7229571,0,4,12,1
"2898",14567129,0,2,11,1
"2899",13592027,0,2,14,1
"2900",7190918,0,1,0,1
"2901",30416587,0,1,9,1
"2902",13671234,0,3,3,1
"2903",729110,0,1,4,1
"2904",2249747,0,5,15,1
"2905",10172976,0,3,22,1
"2906",1987863,53,31,11,1
"2907",18780921,53,31,2,1
"2908",14199437,0,3,4,1
"2909",7199316,0,1,22,1
"2910",27971018,0,1,5,1
"2911",30447308,0,2,21,1
"2912",39002,0,1,17,1
"2913",5778706,0,2,19,1
"2914",30416297,0,2,10,1
"2915",10599408,0,4,5,1
"2916",7190678,0,1,0,1
"2917",138368,53,31,10,1
"2918",14592559,0,1,21,1
"2919",1997191,0,3,14,1
"2920",7160478,0,4,18,1
"2921",7198420,0,1,21,1
"2922",5823362,0,3,18,1
"2923",958048,0,2,13,1
"2924",7206258,0,2,22,1
"2925",1363904,0,1,23,1
"2926",9414094,0,3,19,1
"2927",30163217,0,1,13,1
"2928",2820383,0,4,12,1
"2929",28820745,0,2,10,1
"2930",12906488,0,4,22,1
"2931",6971036,0,2,2,1
"2932",29584648,0,1,16,1
"2933",7159384,0,4,20,1
"2934",4594792,53,31,1,1
"2935",5431271,0,2,7,1
"2936",4729960,0,2,7,1
"2937",14679931,0,3,20,2
"2938",4595543,0,2,19,1
"2939",30446004,0,2,20,1
"2940",36186537,0,2,2,1
"2941",30378037,0,2,21,1
"2942",11377262,0,3,23,1
"2943",6555661,0,3,16,1
"2944",145882,0,1,6,1
"2945",13002483,0,5,20,1
"2946",2455291,0,3,20,1
"2947",14578748,0,3,12,1
"2948",111704,0,3,20,1
"2949",9594363,0,2,10,1
"2950",14355584,0,1,22,1
"2951",29790631,0,2,2,1
"2952",63532,0,4,13,1
"2953",10450334,0,1,3,1
"2954",14387445,0,2,9,1
"2955",7256765,0,4,0,1
"2956",42351,0,3,14,1
"2957",22783305,0,2,19,1
"2958",7148487,0,1,18,1
"2959",1934951,53,31,14,1
"2960",12693007,0,2,23,1
"2961",31983800,0,1,1,1
"2962",12533177,0,3,13,4
"2963",15173527,0,2,12,1
"2964",9746022,0,1,19,4
"2965",30413708,0,1,16,1
"2966",7164491,0,1,8,1
"2967",11617297,0,1,0,1
"2968",46559,0,3,10,1
"2969",14511048,0,1,9,1
"2970",7317893,0,3,21,1
"2971",14365890,0,3,9,1
"2972",6946390,0,4,21,2
"2973",29053142,0,2,13,2
"2974",10230125,0,2,18,4
"2975",5017399,0,2,19,1
"2976",4143073,0,3,15,1
"2977",27422523,0,2,11,1
"2978",5557231,0,2,5,1
"2979",7194265,0,1,11,1
"2980",13033470,0,1,14,1
"2981",14652886,0,1,18,1
"2982",14692331,0,3,2,1
"2983",6510722,0,2,11,1
"2984",14656994,0,1,14,1
"2985",30401968,0,1,4,1
"2986",22724901,0,5,19,1
"2987",24253915,0,1,8,1
"2988",954081,0,4,13,1
"2989",16360167,0,1,21,1
"2990",3747927,0,2,13,1
"2991",80421,0,3,7,1
"2992",6612295,0,4,10,1
"2993",7103750,0,2,8,1
"2994",5729843,0,2,12,1
"2995",19979314,0,3,16,2
"2996",14303421,0,2,13,1
"2997",26245461,0,5,19,1
"2998",28111538,0,2,0,1
"2999",24787182,0,5,7,4
"3000",5569912,0,2,13,1
"3001",1838,0,2,8,1
"3002",2246262,0,1,12,1
"3003",2483176,0,4,9,1
"3004",44611463,0,1,0,4
"3005",36616565,0,4,15,2
"3006",2420841,0,1,13,1
"3007",10008330,0,2,16,1
"3008",1875584,0,4,0,1
"3009",44044,0,3,14,1
"3010",3632479,0,4,8,1
"3011",13771672,0,3,14,2
"3012",17492196,0,1,4,3
"3013",23612746,0,5,10,1
"3014",12245428,0,1,18,1
"3015",11774195,0,3,4,1
"3016",14670849,0,2,7,1
"3017",675184,0,2,23,1
"3018",14667439,0,2,3,1
"3019",1936605,0,3,10,2
"3020",7248887,0,3,18,1
"3021",4176240,0,1,17,1
"3022",17693143,0,1,0,1
"3023",14609146,0,1,7,1
"3024",3898585,0,2,8,1
"3025",14133643,0,3,14,1
"3026",6478705,0,2,22,1
"3027",14691282,0,3,1,1
"3028",7195711,0,1,14,1
"3029",29904137,0,1,16,1
"3030",14664147,0,2,15,1
"3031",10938942,0,1,15,1
"3032",7160041,0,3,20,1
"3033",7262408,0,5,6,1
"3034",13790642,0,2,13,1
"3035",7203620,0,2,5,1
"3036",7192042,0,1,5,1
"3037",581,0,3,21,2
"3038",14669497,0,2,7,1
"3039",8773523,0,3,13,1
"3040",7294602,0,1,19,1
"3041",6056143,0,2,20,1
"3042",11412423,0,2,11,1
"3043",25565141,0,2,15,1
"3044",7488461,0,2,22,1
"3045",14677373,0,2,13,1
"3046",29289933,0,4,17,2
"3047",14678786,0,2,15,1
"3048",14704476,0,3,15,1
"3049",14668967,0,2,5,1
"3050",7303664,0,1,18,1
"3051",3380335,0,3,1,1
"3052",4981141,0,2,8,1
"3053",24620821,0,1,18,1
"3054",32658182,0,3,16,1
"3055",1981019,0,3,19,1
"3056",7303415,0,3,14,1
"3057",13433130,0,1,21,1
"3058",14596456,0,1,22,1
"3059",7231292,0,3,12,1
"3060",14004229,0,3,14,1
"3061",6844944,0,2,14,1
"3062",7593768,0,2,0,1
"3063",27631151,0,1,17,1
"3064",7301975,0,2,15,1
"3065",7304791,0,3,16,1
"3066",7204034,0,2,6,1
"3067",21592499,0,2,12,1
"3068",13940805,0,1,5,1
"3069",2311359,0,5,1,1
"3070",12495979,0,2,17,2
"3071",11129177,0,4,7,1
"3072",7031667,0,4,17,1
"3073",9620156,0,1,5,1
"3074",5885667,0,2,15,1
"3075",14628101,0,1,22,1
"3076",27657250,0,2,19,1
"3077",1958862,0,1,0,1
"3078",11389956,0,3,8,1
"3079",12175049,0,1,1,1
"3080",14272040,0,3,0,1
"3081",10444031,0,2,1,1
"3082",7150114,0,2,4,2
"3083",30445719,0,2,21,1
"3084",14699830,0,3,11,1
"3085",2964214,0,1,9,1
"3086",1480592,0,1,8,1
"3087",7128729,0,2,8,1
"3088",6707813,0,2,5,2
"3089",30438125,0,2,13,1
"3090",7193625,0,1,9,1
"3091",14642619,0,1,22,1
"3092",2571303,0,5,23,1
"3093",7098620,0,1,21,1
"3094",5382985,0,2,10,1
"3095",15173816,0,4,6,1
"3096",14447608,0,2,9,1
"3097",7189,0,1,18,1
"3098",22287987,0,1,2,1
"3099",7097485,0,1,23,1
"3100",29854472,0,2,12,1
"3101",13629641,0,2,6,1
"3102",5533782,0,3,1,1
"3103",27653122,0,1,17,1
"3104",14596247,0,3,0,1
"3105",5524849,0,2,21,1
"3106",14144401,0,2,20,1
"3107",59674,0,1,11,1
"3108",7113926,0,2,19,1
"3109",6860534,0,1,12,1
